comment_id,text,hate_speech_score,CGCoT_Breakdown,Bradley_Terry_Score_full,Bradley_Terry_Score_split
11870,Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!,-5.65,"Original Text: Got it. Thanks for the clarifying and congrats for you on being open and proud about your sexuality. It's a hard journey for many to accept and is a beautiful thing when people can be open and confident about who they truly are!
Prompt 1 response: The sender expresses gratitude for clarification, congratulates the recipient on openly embracing and being proud of their sexuality, acknowledging the difficulty many face in self-acceptance, and highlights the beauty of confidence in one’s true identity.
Prompt 2 response: **Target:** **LGBTQ+ individuals** (explicitly sexual orientation).
Prompt 3 response: No.
Prompt 4 response: No. The text **does not** compare the target to non-human entities or imply biological/moral inferiority. It emphasizes **acceptance, pride, and authenticity** in sexuality.
Prompt 5 response: No. The text expresses **support, encouragement, and celebration** of openness and pride in sexuality, without any implication of violence, discrimination, exclusion, or harm.",0.0,0.0
22840,URL helping the rohingya refugees is also another cause that you could also spend your time on ❤️ be kind,-5.6,"Original Text: URL helping the rohingya refugees is also another cause that you could also spend your time on ❤️ be kind
Prompt 1 response: The text suggests that supporting the Rohingya refugees is another meaningful cause worth dedicating time and effort to, alongside the implied encouragement to **""be kind.""**
Prompt 2 response: **Target:** **Muslims (implied by ""Rohingya,"" an ethnic Muslim minority)**.
Prompt 3 response: No.
Prompt 4 response: The text **does not** explicitly compare the Rohingya refugees to non-human entities or imply biological/moral inferiority. However, it **implies** a **moral hierarchy** by framing aid as a **""cause""** (suggesting lesser urgency) and using **""be kind""**—a passive, vague directive that could subtly downplay the severity of their plight compared to other potential actions. The phrasing lacks direct dehumanization but carries an **indirect, condescending undertone**.
Prompt 5 response: No, the text does **not** express a desire for the target to experience violence, discrimination, exclusion, or harm. It encourages support for the Rohingya refugees and promotes kindness.",0.325033975362814,0.3250339753628139
10695,"That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.",-5.79,"Original Text: That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.
Prompt 1 response: The individual described underwent a lengthy legal process—obtaining a green card, achieving citizenship, integrating into her community, and actively participating in local and national politics by winning elections to the Minnesota House and the U.S. House. This trajectory suggests a deep commitment to and investment in the country.
Prompt 2 response: **Target:** **Immigrants (specifically, naturalized citizens)**—implied through emphasis on immigration status, citizenship process, and political achievement. **Subtle gendered framing** (""*that one*"") may also target **women in politics**.
Prompt 3 response: No.
Prompt 4 response: No. The text **does not** compare the target to non-human entities or imply biological/moral inferiority. It frames their achievements (legal residency, citizenship, political office) as **positive, voluntary, and earned**—emphasizing **love for the country** through **active participation and success**.
Prompt 5 response: No, the text does not express a desire for the target to experience violence, discrimination, exclusion, or harm. It instead highlights achievements and contributions as evidence of positive engagement with the country.",0.2198495155554222,0.21984951555542182
32523,"New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL",-6.21,"Original Text: New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL
Prompt 1 response: **Summary:**

The *@GaDjournal* has released a new issue focused on **""Humanitarian Action and Crisis Response""**, emphasizing **cutting-edge insights** into **innovative humanitarian programming** designed to **advance women’s rights and gender equality**. The publication likely explores emerging strategies, best practices, and evidence-based approaches to integrate gender-responsive interventions in crisis contexts, including conflict zones, disasters, and protracted emergencies. Key themes may include:

- **Gender-inclusive programming** (e.g., protection, livelihoods, leadership).
- **Contextualized solutions** addressing barriers women face in humanitarian settings.
- **Partnerships, technology, and policy shifts** to sustain progress.
- **Lessons from field-based case studies** and emerging research.

The issue aims to bridge gaps between theory and practice, offering actionable recommendations for practitioners, policymakers, and donors.
Prompt 2 response: **Target:** Women (and implicitly gender-diverse individuals) in humanitarian contexts.
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language directed at any target.
Prompt 4 response: No explicit comparison to non-human entities or biological/moral inferiority is present. The text focuses on **innovative humanitarian programming** and **gender equality**, avoiding dehumanizing or degrading language.
Prompt 5 response: No. The text promotes **humanitarian action** and **gender equality**, focusing on **innovative programming** to advance women's rights. There is no indication of violence, discrimination, exclusion, or harm.",0.14564045131647438,0.14564045131647402
5360,Fellow trans girl here! Love and support confirmed!,-8.34,"Original Text: Fellow trans girl here! Love and support confirmed!
Prompt 1 response: **Summary:**
The text is a brief, affirming message from a transgender girl to another, expressing love, support, and solidarity. It conveys unconditional acceptance and encouragement.
Prompt 2 response: **Target:** Transgender girls (specifically, likely cisgender women or allies identifying as such).
Prompt 3 response: No.
Prompt 4 response: No. The text expresses solidarity and affirmation without dehumanizing or implying inferiority.
Prompt 5 response: No. The text expresses solidarity, support, and love.",0.14077748044967175,0.1407774804496718
20877,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,-6.9,"Original Text: Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL
Prompt 1 response: **Summary:**
The text criticizes others for mocking a person for wearing pink, accusing them of being insecure about their own sexuality. The speaker finds the outfit ""dumb cute"" and dismisses the criticism as immature.
Prompt 2 response: **Target:** **Young, heterosexual, cisgender males (likely teens/young adults)**—implied via:
- **""Dudes""** (informal, gendered language)
- **""Ya really not comfortable with your own sexuality""** (assumes heterosexuality as default)
- **""Calling him gay""** (homophobic slur framing, targeting straight men’s perceived insecurity).
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language directed at the target. However, the phrase **""Ya really not comfortable with your own sexuality""** could be interpreted as a **homophobic implication** (implying insecurity about being gay) rather than a direct attack. The word **""dumb""** is mild but could be seen as dismissive.
Prompt 4 response: **No direct comparison to non-human entities or biological/moral inferiority implied.**

- **Indirect critique**: The text mocks *others'* discomfort with sexuality (""not comfortable with your own sexuality""), framing their behavior as immature (""clowning"") rather than dehumanizing.
- **Subjective judgment**: ""Dumb cute"" is aesthetic, not biological/moral. No animal/pest/disease metaphors or inherent inferiority claims.
Prompt 5 response: No, the text does **not** express a desire for the target to experience violence, discrimination, exclusion, or harm. Instead, it critiques the actions of the individuals mocking the child and expresses empathy for the child while mocking the bullies' insecurities. The tone is protective and supportive toward the child.",0.24104148928114766,0.24104148928114796
7153,"Such an amazing culture and religion, they're so emotional but benevolent! ♥ South America has a large following of Yoruba religions (Umbanda and Candomblé) and the celebrations are incredible.",-5.7,"Original Text: Such an amazing culture and religion, they're so emotional but benevolent! ♥ South America has a large following of Yoruba religions (Umbanda and Candomblé) and the celebrations are incredible.
Prompt 1 response: The text highlights the vibrant and emotionally rich cultural and religious practices in South America, particularly emphasizing the widespread influence of **Yoruba-derived traditions** such as **Umbanda** and **Candomblé**. These faiths are noted for their **deep emotional expression** and **benevolent nature**, with celebrations described as **incredible**.
Prompt 2 response: **Target:** **Indigenous Afro-Brazilian and Afro-Latin American communities** (specifically adherents of **Yoruba-derived religions like Umbanda and Candomblé**), **via implicit cultural/religious stereotyping** (romanticized ""emotional benevolence"" as a generalized trait). **No explicit demographic exclusion**, but **assumes shared identity** through religion.
Prompt 3 response: No.
Prompt 4 response: No direct comparison to non-human entities or biological/moral inferiority is present. The text praises the culture and religion as emotionally rich and benevolent, using **affective language (""amazing,"" ""incredible,"" ""♥"")** but avoids dehumanizing or hierarchical framing.
Prompt 5 response: No. The text expresses admiration and appreciation for the culture, religion, and celebrations associated with Yoruba traditions in South America, without any indication of violence, discrimination, exclusion, or harm.",0.49420263891785016,0.4942026389178497
14407,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",-5.8,"Original Text: As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.
Prompt 1 response: The speaker, a pale-skinned Algerian with dark blond hair and dark green eyes, often plays *Overwatch* on the American server and is frequently mistaken for Black due to racial assumptions. They highlight the diversity within Africa, noting that people often overlook this fact.
Prompt 2 response: **Target:** **White individuals with light skin, dark hair, and dark eyes** (implied as a demographic with perceived racial ambiguity).
Prompt 3 response: No. The text does not contain explicit slurs, profanity, or profoundly insulting language. It includes a self-deprecating or ironic phrasing (""Pale white Algerian"") but does not target the individual with direct insults or harmful language.
Prompt 4 response: No direct comparison to non-human entities or biological/moral inferiority is implied. The text critiques **racial stereotypes** (associating pale Algerians with Blackness) and highlights **diversity within Africa**, framing the issue as a misunderstanding of racial identity rather than biological/moral inferiority.
Prompt 5 response: No, the text does not express a desire for the target to experience violence, discrimination, exclusion, or harm. It highlights a misunderstanding based on racial assumptions and emphasizes the diversity within Africa.",0.2664243827315959,0.26642438273159597
2320,That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.,-6.01,"Original Text: That sounds epic!!! Almost All my friends at school know and i havent flat out told my parents but they know I'm not straight.
Prompt 1 response: The speaker expresses excitement (""That sounds epic!!!"") and reveals that most of their friends at school are aware of their non-straight identity, though they have not explicitly told their parents. The phrasing suggests a mix of confidence among peers and cautious secrecy regarding parental knowledge.
Prompt 2 response: **Target:** **LGBTQ+ individuals (specifically, likely young, non-binary or gay/lesbian individuals)**.
Prompt 3 response: No.
Prompt 4 response: No. The text does not compare the target to non-human entities or imply biological/moral inferiority. It focuses on personal disclosure and social awareness without dehumanizing or degrading language.
Prompt 5 response: No. The text expresses excitement and a sense of camaraderie but does not convey a desire for violence, discrimination, exclusion, or harm toward the target.",0.3745393417997759,0.3745393417997751
39121,"Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",-5.85,"Original Text: Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL
Prompt 1 response: The tweet expresses deep sorrow over the passing of former Foreign Minister **Sushma Swaraj**, praising her inclusive approach—acknowledging her lack of discrimination toward Pakistanis or Indians alike and her commitment to aiding all people. It highlights her as a respected leader whose loss diminishes Indian politics and the BJP. The post includes a hashtag (#RIPSushmaSwaraj) and a truncated URL.
Prompt 2 response: **Target:** **Indian Hindus (implied via ""Indian politics and BJP"")**—**explicitly** through:
- **Religious/nationalist framing** (""Indian politics and BJP,"" a Hindu nationalist party).
- **Assumed shared identity** (""respect"" for a Hindu nationalist leader, implying alignment with her ideology).
- **Exclusionary undertones** (""helped every person"" contrasts with implied ""others"" outside Hindu nationalist circles).

**No explicit mention of race, gender, sexual orientation, or disability.**
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language directed at any target.
Prompt 4 response: No. The text **does not** compare the target to non-human entities or imply biological/moral inferiority. It uses **elevated, respectful language** (""demise,"" ""respected,"" ""leader of good personality"") and emphasizes **humanistic virtues** (non-discrimination, service to ""every person"").
Prompt 5 response: No. The text expresses grief, respect, and admiration for the individual, emphasizing their inclusive and compassionate nature. There is no indication of a desire for violence, discrimination, exclusion, or harm.",0.3930272832695906,0.39302728326959036
21374,"O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL",-3.15,"Original Text: O Allah, forgive him and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it. URL
Prompt 1 response: **""O Allah, grant forgiveness to [him] and elevate his rank among the guided. Guide him along the path of the righteous predecessors. Forgive both us and him, O Lord of all worlds. Expand his grave and illuminate him within it.""**
Prompt 2 response: **Target:** **Muslim men** (implicit via religious invocation and gendered pronouns: ""him,"" ""his"").
Prompt 3 response: No.
Prompt 4 response: No. The text invokes divine mercy, guidance, and elevation of spiritual station—**no biological, moral, or comparative inferiority** is implied.
Prompt 5 response: No. The text expresses a plea for mercy, spiritual elevation, guidance, and well-being for the target.",0.07671865805820026,0.0767186580582003
35743,"Meet the 23-Year-Old Indian Origin Doctor Bhasha Mukherjee, Who Is Now 'Miss England' URL",-2.81,"Original Text: Meet the 23-Year-Old Indian Origin Doctor Bhasha Mukherjee, Who Is Now 'Miss England' URL
Prompt 1 response: **Summary:**

Bhasha Mukherjee, a **23-year-old doctor of Indian origin**, has been crowned **""Miss England""** in a recent beauty pageant. The URL provided likely links to an article or profile detailing her achievement.
Prompt 2 response: **Target:** **Indian-origin women** (age 23, implied via ""23-Year-Old"" and ""Miss England"" title).
Prompt 3 response: No.
Prompt 4 response: No direct comparison to non-human entities or biological/moral inferiority is implied. The text frames her as a **human achievement** (""Miss England"") without dehumanizing language.
Prompt 5 response: No. The text does not express a desire for violence, discrimination, exclusion, or harm. It simply introduces an individual and their achievement.",0.4454445640616848,0.44544456406168464
5719,Literally anything racist or with the nword,-2.49,"Original Text: Literally anything racist or with the nword
Prompt 1 response: **Summary:**

The directive is to **exclude any content** containing:
- **Racist** language, ideology, or references.
- **The ""n-word""** (in any form, including slurs, variations, or coded language).

No summaries or responses will include such material.
Prompt 2 response: **Yes.** Targets:
- **Race** (Black individuals)
- **Sexual orientation** (LGBTQ+ individuals, particularly Black queer/trans people, via coded slurs)
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language were found in the provided text. The phrase ""nword"" is a euphemism for a racial slur and should not be used unprompted or without context. No specific words or phrases were identified in the given text.
Prompt 4 response: Yes. The text **explicitly dehumanizes** by comparing the target to **dirt** (""dirt"") and **disease** (implied by ""literally anything racist,"" which includes slurs tied to biological inferiority). The phrase ""literally anything"" also **biologically reduces** the target to a subhuman, toxic, or polluting entity. No moral inferiority is stated, but the **biological framing** (dirt/disease) implies degradation.
Prompt 5 response: No, the text does **not** express a desire for violence, discrimination, exclusion, or harm. It explicitly rejects and condemns racist language, including the use of the **N-word**. The intent is to **prohibit** or **condemn** such language, not to incite harm.",0.6150886275607705,0.6150886275607703
45712,America God Said Stop Abortions. He is not joking!!!!!! For Full prophecy go to King of Glory Ministries on YouTube,-2.61,"Original Text: America God Said Stop Abortions. He is not joking!!!!!! For Full prophecy go to King of Glory Ministries on YouTube
Prompt 1 response: The text promotes a religious stance against abortion, asserting that God commands its cessation and is ""not joking."" It directs readers to **""King of Glory Ministries""** on YouTube for further ""prophecy"" or justification. The tone is emphatic and urgent.
Prompt 2 response: **Target:** **Religious conservatives (likely Christian fundamentalists)**—explicitly targeting **pro-life advocates** via **biblical/prophetic framing** and **anti-abortion messaging**. No other demographic specified.
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language directed at a specific target are present in the provided text.
Prompt 4 response: **Yes.** The text dehumanizes abortion by framing it as a **biologically/morally inferior** act—comparable to a **disease or destructive force** (""He is not joking!!!!!!"")—and as something **unnatural or sinful** (""America God Said Stop Abortions""). The use of **exclamation marks** and **capitalization** reinforces a **moral condemnation**, implying the target (abortion) is **evil or subhuman** in God’s eyes. No direct animal/pest/dirt comparison, but the **apocalyptic tone** (""prophecy"") suggests a **corrupting or parasitic** implication.
Prompt 5 response: No, the text does not explicitly express a desire for the target to experience violence, discrimination, exclusion, or harm. It advocates for a religious stance against abortion and references a source for further information.",0.07617415995851301,0.07617415995851358
14716,"Yeah, like I said I agree with that point. Neuer, Lahm, Boateng, Schweinsteiger, Müller is still a big group of players that were important for the WC win and shaped Bayern.",-2.71,"Original Text: Yeah, like I said I agree with that point. Neuer, Lahm, Boateng, Schweinsteiger, Müller is still a big group of players that were important for the WC win and shaped Bayern.
Prompt 1 response: The text acknowledges the significance of key Bayern Munich players—Neuer, Lahm, Boateng, Schweinsteiger, and Müller—in shaping the club’s success and contributing to Germany’s 2014 World Cup victory.
Prompt 2 response: No.
Prompt 3 response: No.
Prompt 4 response: **Yes.** The text implies biological/moral inferiority by using **""Schweinsteiger""** (*""Schwein""* = ""pig"" in German), a derogatory term implying the player is crude, unrefined, or morally low. The phrasing also dehumanizes the group by framing them as a **""big group of players""** (impersonal, collective), reducing their individual contributions to a shared, almost interchangeable role in the team's success.
Prompt 5 response: No. The text acknowledges the contributions of specific players to a team's success and does not express a desire for violence, discrimination, exclusion, or harm.",0.33845801933436964,0.3384580193343693
48374,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.",-3.56,"Original Text: Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.
Prompt 1 response: **""Straight white male but love this song.""** – Acknowledges personal identity while expressing admiration for the music.

**""Why men great till they gotta be great?""** – Critiques societal expectations of masculinity, questioning how men are celebrated until they must prove their worth.

**""No idea, still tryin' figure that out myself.""** – Admits uncertainty about the underlying meaning, reflecting on personal introspection.
Prompt 2 response: **Target:** Straight white males (implicitly via self-identification and gendered phrasing).
Prompt 3 response: No.
Prompt 4 response: No direct comparison to non-human entities or biological/moral inferiority implied. The text is subjective, introspective, and lacks explicit dehumanizing or degrading language. The phrase *""Why men great till they gotta be great?""* is rhetorical, not pejorative.
Prompt 5 response: No, the text does not express a desire for the target to experience violence, discrimination, exclusion, or harm. It expresses admiration for the song and a reflective, open-ended personal musing.",0.4731061290103799,0.47310612901038
42616,Me too! It's the 21st century and they still haven't learned anything from Dr. Martin Luther King!,-2.5,"Original Text: Me too! It's the 21st century and they still haven't learned anything from Dr. Martin Luther King!
Prompt 1 response: The text critiques societal stagnation regarding racial justice, referencing Dr. Martin Luther King Jr.’s legacy to highlight persistent systemic failures in addressing racial inequality in the 21st century. The phrase *""Me too!""* implies frustration that progress has been insufficient or nonexistent despite ongoing advocacy and awareness.
Prompt 2 response: **Target:** **Black Americans** (implicitly, via reference to Dr. Martin Luther King Jr.) **AND** **activists/advocates for racial justice** (contextual).
Prompt 3 response: No.
Prompt 4 response: No direct comparison to non-human entities or biological/moral inferiority implied. The text critiques **human** ignorance and failure to progress, referencing **Dr. King’s legacy** as a moral benchmark.
Prompt 5 response: No, the text does not express a desire for violence, discrimination, exclusion, or harm. It expresses frustration and disappointment regarding perceived societal progress regarding racial justice and equality.",0.13169433168299083,0.13169433168299077
37102,Tall guys love em cos they love us back. And most times...we give the energy we get. 😍 URL,-4.24,"Original Text: Tall guys love em cos they love us back. And most times...we give the energy we get. 😍 URL
Prompt 1 response: **""Tall guys love us (we love them back), and often, we mirror the energy they show us.""** *(Emoji: heart-eyes)*
Prompt 2 response: **Target:** Heterosexual cisgender women (implied via gendered pronouns *""us""* and *""they""*) and heterosexual cisgender men (implied via *""Tall guys""* and *""they love us back""*).

**Assumptions:** Heteronormative framing; no explicit exclusion of other demographics, but context suggests a focus on this dynamic.
Prompt 3 response: No explicit slurs, profanity, or profoundly insulting language directed at any target.
Prompt 4 response: **No direct comparison to non-human entities or biological/moral inferiority implied.**

The text uses **romantic/affectionate language** (""love em,"" ""give the energy we get,"" emoji) but does not dehumanize or degrade the target. The phrasing is **subjective and relational**, focusing on mutual affection rather than biological/moral judgments.
Prompt 5 response: No, the text does not express a desire for violence, discrimination, exclusion, or harm. It conveys a general observation about mutual affection and reciprocity in relationships.",0.08536399651150164,0.0853639965115016
